央视,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,https://epg.pw/stream/df533bc2427ac82957ccf8e9bcb9706fd8b095581e28146416de172d70b65dc0.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.66.46/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.179/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.65.179/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225818/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225507/index.m3u8#https://epg.pw/stream/ef9111cbb989c2ed48759884800cdcda4dcdd561f776aff58b70a31d9d1c9bfa.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.65.177/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225814/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://39.134.65.179/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.65.164/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,https://epg.pw/stream/4dbd78fa420bac8ba615e053a31aba3aeaa08bdb88e9fe455b30f3001fb938ab.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.65.177/PLTV/88888888/224/3221225795/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://39.134.66.46/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.65.179/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.65.166/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
